"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","gender","age","language","PID","sona_id","subStim","optStim","stim1","stim2","infoCond","optimCond","bonus","responses","banditTrial","choice","cue","feedback","estimateData","leftOption","rightOption","choiceName","leftInput","rightInput","key_press","postQ","singleEst"
"8745","<p>Thank you for signing up to participate in SONA Study 476! <br> During this study, please focus on the experiment and refrain from activities such as:</p>- <b>Switching to other tabs on your browser (this will be monitored via the experiment)</br> - Using your mobile phone/cell phone</br> - Communicating with others</br></br></b><p>This way, you are helping to provide data that is useful for psychological research. We thank you for your cooperation!</p>","0","html-button-response","0","8749","0.0-0.0","female","18","Australia","6377","25336","imgNWTK/KeepItSecret.jpg","imgNWTK/FindOutNow.jpg","imgNWTK/KeepItSecret.jpg","imgNWTK/FindOutNow.jpg","info","sub","3.41","","","","","","","","","","","","","",""
"2817","<p>Welcome to the experiment!</p><p>You will now read some instructions about the task. Press the 'Next' button to continue. </p>","0","html-button-response","1","11568","0.0-1.0","female","18","Australia","6377","25336","imgNWTK/KeepItSecret.jpg","imgNWTK/FindOutNow.jpg","imgNWTK/KeepItSecret.jpg","imgNWTK/FindOutNow.jpg","info","sub","3.41","","","","","","","","","","","","","",""
"15610","<p> On each trial throughout the experiment you will choose between the options </br><b> Find Out Now </b> and <b> Keep It Secret </b>, as shown below.</p><div><div style= 'float: left; width: 300px; margin: 10px 10px;'><img src= 'imgNWTK/KeepItSecret.jpg'></img></div><div style= 'float: right; width: 300px; margin: 10px 10px;'><img src= 'imgNWTK/FindOutNow.jpg'></img></div></div><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><p>Each option results in winning points or receiving 0 points.</br>There is a 50% chance of either winning or receiving 0 points.</p><p>You won't receive the outcome until after a <b> 20 second delay</b>. However, selecting the Find Out Now option will allow you to find out about the outcome early, whereas the Keep It Secret option will not. </p>","0","html-button-response","2","27180","0.0-2.0-0.0","female","18","Australia","6377","25336","imgNWTK/KeepItSecret.jpg","imgNWTK/FindOutNow.jpg","imgNWTK/KeepItSecret.jpg","imgNWTK/FindOutNow.jpg","info","sub","3.41","","","","","","","","","","","","","",""
"29193","<img src= 'cues/Experiment6.png'></img><p>As seen above, when choosing the <b>'Find Out Now'</b> option, you will receive either a happy face or sad face.</br>The happy face means you will win points after the delay, whereas the sad face means you will receive 0 points.</br></p><p> When choosing the <b> 'Keep it Secret' </b> option you will receive a confused face.</br> This face appears regardless of whether you are going to win points or not. </p>In short, choosing 'Find Out Now' allows you to find out the outcome before you experience it (after the delay).</br></br>","0","html-button-response","3","56375","0.0-2.0-1.0","female","18","Australia","6377","25336","imgNWTK/KeepItSecret.jpg","imgNWTK/FindOutNow.jpg","imgNWTK/KeepItSecret.jpg","imgNWTK/FindOutNow.jpg","info","sub","3.41","","","","","","","","","","","","","",""
"5761","<img src= 'cues/winTrials_info.png' width = '1200'></img><p>To reiterate, 50% of the outcomes of each option will be WIN TRIALS, and the other 50% will be NO-WIN TRIALS.","0","html-button-response","4","62136","0.0-2.0-2.0","female","18","Australia","6377","25336","imgNWTK/KeepItSecret.jpg","imgNWTK/FindOutNow.jpg","imgNWTK/KeepItSecret.jpg","imgNWTK/FindOutNow.jpg","info","sub","3.41","","","","","","","","","","","","","",""
"34361","<p> There will be <b>four blocks</b> in the experiment.</br>You will be given a short 15 second break between each block.</p><p><b>The points and the options will remain the same between the blocks.</b></p>The blocks are there just to give you a small break.</br></br><p>The points you earn in the task are also equal to <b> actual money</b>.</br> <b>1000 points is equal to $1.</b></p><p>This is the rate you will be paid at the experiment's end.","0","html-button-response","5","96499","0.0-2.0-3.0","female","18","Australia","6377","25336","imgNWTK/KeepItSecret.jpg","imgNWTK/FindOutNow.jpg","imgNWTK/KeepItSecret.jpg","imgNWTK/FindOutNow.jpg","info","sub","3.41","","","","","","","","","","","","","",""
"25670","","","survey-multi-choice","6","122181","0.0-2.0-4.0","female","18","Australia","6377","25336","imgNWTK/KeepItSecret.jpg","imgNWTK/FindOutNow.jpg","imgNWTK/KeepItSecret.jpg","imgNWTK/FindOutNow.jpg","info","sub","3.41","{""Q0"":""10 Seconds"",""Q1"":""True"",""Q2"":""Equally"",""Q3"":""False""}","","","","","","","","","","","","",""
"2936","Unfortunately, at least one of your answers was incorrect. Let's read the instructions again.<p> ","0","html-button-response","7","125119","0.0-2.0-5.0-0.0","female","18","Australia","6377","25336","imgNWTK/KeepItSecret.jpg","imgNWTK/FindOutNow.jpg","imgNWTK/KeepItSecret.jpg","imgNWTK/FindOutNow.jpg","info","sub","3.41","","","","","","","","","","","","","",""
"2003","<p> On each trial throughout the experiment you will choose between the options </br><b> Find Out Now </b> and <b> Keep It Secret </b>, as shown below.</p><div><div style= 'float: left; width: 300px; margin: 10px 10px;'><img src= 'imgNWTK/KeepItSecret.jpg'></img></div><div style= 'float: right; width: 300px; margin: 10px 10px;'><img src= 'imgNWTK/FindOutNow.jpg'></img></div></div><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><p>Each option results in winning points or receiving 0 points.</br>There is a 50% chance of either winning or receiving 0 points.</p><p>You won't receive the outcome until after a <b> 20 second delay</b>. However, selecting the Find Out Now option will allow you to find out about the outcome early, whereas the Keep It Secret option will not. </p>","0","html-button-response","8","127123","0.0-2.1-0.1","female","18","Australia","6377","25336","imgNWTK/KeepItSecret.jpg","imgNWTK/FindOutNow.jpg","imgNWTK/KeepItSecret.jpg","imgNWTK/FindOutNow.jpg","info","sub","3.41","","","","","","","","","","","","","",""
"1557","<img src= 'cues/Experiment6.png'></img><p>As seen above, when choosing the <b>'Find Out Now'</b> option, you will receive either a happy face or sad face.</br>The happy face means you will win points after the delay, whereas the sad face means you will receive 0 points.</br></p><p> When choosing the <b> 'Keep it Secret' </b> option you will receive a confused face.</br> This face appears regardless of whether you are going to win points or not. </p>In short, choosing 'Find Out Now' allows you to find out the outcome before you experience it (after the delay).</br></br>","0","html-button-response","9","128682","0.0-2.1-1.1","female","18","Australia","6377","25336","imgNWTK/KeepItSecret.jpg","imgNWTK/FindOutNow.jpg","imgNWTK/KeepItSecret.jpg","imgNWTK/FindOutNow.jpg","info","sub","3.41","","","","","","","","","","","","","",""
"1252","<img src= 'cues/winTrials_info.png' width = '1200'></img><p>To reiterate, 50% of the outcomes of each option will be WIN TRIALS, and the other 50% will be NO-WIN TRIALS.","0","html-button-response","10","129935","0.0-2.1-2.1","female","18","Australia","6377","25336","imgNWTK/KeepItSecret.jpg","imgNWTK/FindOutNow.jpg","imgNWTK/KeepItSecret.jpg","imgNWTK/FindOutNow.jpg","info","sub","3.41","","","","","","","","","","","","","",""
